n,period,forward_cost,reverse_via_forward_cost,asymmetry_ratio
1,2,1,1,1
2,4,1,3,3
3,8,1,7,7
4,16,1,15,15
5,32,1,31,31
6,64,1,63,63
7,128,1,127,127
8,256,1,255,255
9,512,1,511,511
10,1024,1,1023,1023
11,2048,1,2047,2047
12,4096,1,4095,4095
13,8192,1,8191,8191
14,16384,1,16383,16383
15,32768,1,32767,32767
16,65536,1,65535,65535
17,131072,1,131071,131071
18,262144,1,262143,262143
19,524288,1,524287,524287
20,1048576,1,1048575,1048575
