n,epsilon,deterministic_bits,public_randomized_proxy_bits,ratio
8,0.3333333333333333,9,3,3.0
16,0.3333333333333333,17,3,5.666666666666667
32,0.3333333333333333,33,3,11.0
64,0.3333333333333333,65,3,21.666666666666668
128,0.3333333333333333,129,3,43.0
256,0.3333333333333333,257,3,85.66666666666667
512,0.3333333333333333,513,3,171.0
1024,0.3333333333333333,1025,3,341.6666666666667
