t,steps,directions,max_abs_error,mean_abs_error
0.73,1,720,4.440892098500626e-16,4.634361952835262e-17
0.73,2,720,4.440892098500626e-16,7.773488642904959e-17
0.73,5,720,8.881784197001252e-16,1.4682506753614808e-16
0.73,10,720,1.3322676295501878e-15,2.936019483090746e-16
0.73,25,720,3.1086244689504383e-15,6.883768246781743e-16
0.73,50,720,5.551115123125783e-15,1.3958934317079595e-15
0.73,100,720,1.1102230246251565e-14,2.959288871050446e-15
0.73,250,720,2.731148640577885e-14,7.390900198954596e-15
